deck_code,factions,Champion.01,Champion.02,Champion.03,Champion.04,Champion.05,Champion.06,Card.01,Card.02,Card.03,Card.04,Card.05,Card.06,Card.07,Card.08,Card.09,Card.10,Card.11,Card.12,Card.13,Card.14,Card.15,Card.16,Card.17,Card.18,Card.19,Card.20,Card.21,Card.22,Card.23,Card.24,Card.25,Card.26,Card.27,Card.28,Card.29,Card.30,Card.31,Card.32,Card.33,Card.34,Card.35,Card.36,Card.37,Card.38,Card.39,Card.40,archetype,archetype_pretty
CQAQKBIKGF2IKANAAHBACAIKAUFAJAIBSEAZQANGAGTQDLYBYAA4MAPLAEBQCAQGFYAQGAQCAMCQUAI2FE,faction_BandleCity_Name,05BC133,05BC133,05BC133,02BW046,03IO002,05BC041,05BC049,05BC049,05BC049,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC194,05BC194,05BC194,05BC004,05BC004,05BC129,05BC129,05BC145,05BC145,05BC152,05BC152,05BC166,05BC166,05BC167,05BC167,05BC175,05BC175,05BC192,05BC192,05BC198,05BC198,05BC235,05BC235,02BW046,03IO002,05BC001,05BC026,05BC041,Fizz/Lulu/Poppy/Tristana (BC),""
CQBACAQGFYGAKCQ2E4UWA5EMAGMADIABUYA2OANPAHAACAABAECQUCQ,faction_BandleCity_Name,02BW046,02BW046,02BW046,05BC041,05BC041,05BC041,02BW046,02BW046,02BW046,05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC140,05BC140,05BC140,05BC152,05BC152,05BC152,05BC160,05BC160,05BC160,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC010,Fizz/Poppy (BC),""
CQAQQBIKDITXJJQBU4A26AOAAHBACAIHAUFACBBIGGAQDDAB2EAQCAQFBKMADIAB,faction_BandleCity_Name,"","","","","","",05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC116,05BC116,05BC116,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC194,05BC194,05BC194,05BC001,05BC001,05BC004,05BC004,05BC040,05BC040,05BC049,05BC049,05BC129,05BC129,05BC140,05BC140,05BC209,05BC209,05BC152,05BC160,Championless (BC),""
CQAQQBIKE4UWA5EFAGGADJYBV4AQCCAFBIAW7AIBUAA2MANTAHBADRQBAA,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC140,05BC140,05BC140,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC001,05BC001,05BC111,05BC111,05BC129,05BC129,05BC160,05BC160,05BC166,05BC166,05BC179,05BC179,05BC194,05BC194,05BC198,05BC198,Poppy/Tristana,""
CQAQWBIKDIUWA5EFAGMADJQBU4A26AOAAHDACAIDAUFCO2MMAEAQCBIKYIAQ,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC026,05BC026,05BC026,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC152,05BC152,05BC152,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC198,05BC198,05BC198,05BC039,05BC039,05BC105,05BC105,05BC140,05BC140,05BC194,Poppy/Tristana,""
CQAQOBIKAQNHJBABTAA2MANPAEAQGBIKE5QIYAIEAEBAMLQBAMBAEAQBAQEDQCIFBIAQUKJUIVEWNIYBWMAQ,faction_BandleCity_Name,02BW046,03IO002,01PZ008,01PZ056,05BC041,05BC163,05BC004,05BC004,05BC004,05BC026,05BC026,05BC026,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC152,05BC152,05BC152,05BC166,05BC166,05BC166,05BC175,05BC175,05BC175,05BC039,05BC039,05BC096,05BC096,05BC140,05BC140,02BW046,03IO002,01PZ008,01PZ056,05BC001,05BC010,05BC041,05BC052,05BC069,05BC073,05BC102,05BC163,05BC179,Fizz/Heimerdinger/Lulu/Poppy/Teemo/Ziggs (BC),""
CQAQGBIKUYA4EAPLAEBACAIEBAHAKCRHFAUTCMTAMRUXJBABQUA26ANYAHAACAIBAUFNCAI,faction_BandleCity_Name,01PZ008,01PZ008,05BC041,05BC041,05BC133,05BC133,05BC166,05BC166,05BC166,05BC194,05BC194,05BC194,05BC235,05BC235,05BC235,01PZ008,01PZ008,05BC039,05BC039,05BC040,05BC040,05BC041,05BC041,05BC049,05BC049,05BC050,05BC050,05BC096,05BC096,05BC100,05BC100,05BC105,05BC105,05BC116,05BC116,05BC132,05BC132,05BC133,05BC133,05BC175,05BC175,05BC184,05BC184,05BC192,05BC192,05BC209,Poppy/Teemo/Tristana (BC),""
CQBACAQGFYBQKCTUQUA2AAIBBUCQUGRHFIYWBAIBQQAZQANGAGTQDLYBYYA5CAIBAICQU36AAE,faction_BandleCity_Name,02BW046,02BW046,02BW046,05BC133,05BC133,05BC133,02BW046,02BW046,02BW046,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC026,05BC026,05BC039,05BC039,05BC042,05BC042,05BC049,05BC049,05BC096,05BC096,05BC129,05BC129,05BC132,05BC132,05BC152,05BC152,05BC166,05BC166,05BC167,05BC167,05BC175,05BC175,05BC198,05BC198,05BC209,05BC209,05BC111,05BC192,Fizz/Tristana (BC),""
CQBACAQGFYFQKCRHFB2IIAMFAGIQDGABU4A26AOAAHBACAICAUFGTEQBAA,faction_BandleCity_Name,02BW046,02BW046,02BW046,05BC133,05BC133,05BC133,02BW046,02BW046,02BW046,05BC039,05BC039,05BC039,05BC040,05BC040,05BC040,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC145,05BC145,05BC145,05BC152,05BC152,05BC152,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC194,05BC194,05BC194,05BC105,05BC105,05BC146,05BC146,Fizz/Tristana (BC),""
CQAQWBIKDIUTCRLUQQAYKANGAGTQDLYBYAAQCAYFBITWBRQBAEAQKCTJ,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC026,05BC026,05BC026,05BC041,05BC041,05BC041,05BC049,05BC049,05BC049,05BC069,05BC069,05BC069,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC039,05BC039,05BC096,05BC096,05BC198,05BC198,05BC105,Poppy/Tristana,""
CQAQOBIKFFQHJBIBTAA2AANGAEAQSBIKDJUYIAMHAGXQDOIBYIA4MAORAEAQCBIKAE,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC152,05BC152,05BC152,05BC160,05BC160,05BC160,05BC166,05BC166,05BC166,05BC026,05BC026,05BC105,05BC105,05BC132,05BC132,05BC135,05BC135,05BC175,05BC175,05BC185,05BC185,05BC194,05BC194,05BC198,05BC198,05BC209,05BC209,05BC001,Poppy/Tristana,""
CQAQMBIKDIUWBBIBUAA2OAIBBECQUAIHE4YW65EBAGJADLYBAECAKCQKNGGADQQB,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC026,05BC026,05BC026,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC167,05BC167,05BC167,05BC001,05BC001,05BC007,05BC007,05BC039,05BC039,05BC049,05BC049,05BC111,05BC111,05BC116,05BC116,05BC129,05BC129,05BC146,05BC146,05BC175,05BC175,05BC010,05BC105,05BC140,05BC194,Poppy/Tristana,""
CQAQSBIKA4TWA5EEAGCQDIABV4A4AAIBAMCQUGTPTAAQGAIBAQEACAYCAICQKCRJNGKADOIBYIAQ,faction_BandleCity_Name,05BC133,05BC133,05BC133,01PZ008,03IO002,05BC041,05BC007,05BC007,05BC007,05BC039,05BC039,05BC039,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC026,05BC026,05BC111,05BC111,05BC152,05BC152,01PZ008,03IO002,05BC041,05BC105,05BC148,05BC185,05BC194,Lulu/Poppy/Teemo/Tristana (BC),""
CQAQSBIKDITSSYEEAGCQDBYBUYA26AIBAYCQUAIEOTDADUIB5MAQCAIFBJXQ,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC135,05BC135,05BC135,05BC166,05BC166,05BC166,05BC175,05BC175,05BC175,05BC001,05BC001,05BC004,05BC004,05BC116,05BC116,05BC198,05BC198,05BC209,05BC209,05BC235,05BC235,05BC111,Poppy/Tristana,""
CQAQMBIKA5QHJBIBUAA5CAIBBICQUAI2E6AQDFABTAA2MANPAGZQDRQBAEBAKCTPQQAQ,faction_BandleCity_Name,05BC133,05BC133,05BC133,"","","",05BC007,05BC007,05BC007,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC209,05BC209,05BC209,05BC001,05BC001,05BC026,05BC026,05BC039,05BC039,05BC129,05BC129,05BC148,05BC148,05BC152,05BC152,05BC166,05BC166,05BC175,05BC175,05BC179,05BC179,05BC198,05BC198,05BC111,05BC132,Tristana,""
CQBACAIEBADAKCQEDITXJBABV4AQCBYFBIUTJIABU4A4EAOGAHIQCAIFAUFCQYDPQEA2GAI,faction_BandleCity_Name,01PZ008,01PZ008,01PZ008,05BC041,05BC041,05BC163,01PZ008,01PZ008,01PZ008,05BC004,05BC004,05BC004,05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC175,05BC175,05BC175,05BC041,05BC041,05BC052,05BC052,05BC160,05BC160,05BC167,05BC167,05BC194,05BC194,05BC198,05BC198,05BC209,05BC209,05BC040,05BC096,05BC111,05BC129,05BC163,Poppy/Teemo/Ziggs (BC),""
CQBACAIEBADQKCQBNF2IIAMYAGTADQQBAIAQEBROAQCQVAIBUAA2OAOAAEBACAYCAICQKCQEBKLQDMYB2YAQ,faction_BandleCity_Name,01PZ008,01PZ008,01PZ008,02BW046,02BW046,03IO002,01PZ008,01PZ008,01PZ008,05BC001,05BC001,05BC001,05BC105,05BC105,05BC105,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC152,05BC152,05BC152,05BC166,05BC166,05BC166,05BC194,05BC194,05BC194,02BW046,02BW046,05BC129,05BC129,05BC160,05BC160,05BC167,05BC167,05BC192,05BC192,03IO002,05BC004,05BC010,05BC151,05BC179,05BC214,Fizz/Lulu/Teemo (BC),""
CQAQ2BIKAQNCOKBRJFQHJGABUYA26AOAAHBACAABAECQUMQ,faction_BandleCity_Name,"","","","","","",05BC004,05BC004,05BC004,05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC040,05BC040,05BC040,05BC049,05BC049,05BC049,05BC073,05BC073,05BC073,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC152,05BC152,05BC152,05BC166,05BC166,05BC166,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC194,05BC194,05BC194,05BC050,Championless (BC),""
CQAQUBIKMBXXJAIBQUAZEANHAGXQDQABYIAQCAYFBKMADMYB3AAQIAIBAQEACAQGFYAQGAQCAECQVBYB,faction_BandleCity_Name,05BC133,05BC133,05BC133,01PZ008,02BW046,03IO002,05BC096,05BC096,05BC096,05BC111,05BC111,05BC111,05BC116,05BC116,05BC116,05BC129,05BC129,05BC129,05BC133,05BC133,05BC133,05BC146,05BC146,05BC146,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC194,05BC194,05BC194,05BC152,05BC152,05BC179,05BC179,05BC216,05BC216,01PZ008,02BW046,03IO002,05BC135,Fizz/Lulu/Teemo/Tristana (BC),""
CQAQSBIKMB2ICAMEAGCQDIABV4A4AAOCAEAQGBIKDKTADRQBAMAQCBAIAEBAMLQFAUFACCRJFJUQ,faction_BandleCity_Name,05BC133,05BC133,05BC133,01PZ008,02BW046,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC129,05BC129,05BC129,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC175,05BC175,05BC175,05BC192,05BC192,05BC192,05BC194,05BC194,05BC194,05BC026,05BC026,05BC166,05BC166,05BC198,05BC198,01PZ008,02BW046,05BC001,05BC010,05BC041,05BC042,05BC105,Fizz/Poppy/Teemo/Tristana (BC),""
CQAQYBIKDJQHJBABQUAYYAMSAGMADJQBU4A26AOCAEAQCAYCAIAQEBIKE4UQ,faction_BandleCity_Name,05BC133,05BC133,05BC133,03IO002,03IO002,05BC041,05BC026,05BC026,05BC026,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC140,05BC140,05BC140,05BC146,05BC146,05BC146,05BC152,05BC152,05BC152,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC194,05BC194,05BC194,03IO002,03IO002,05BC039,05BC041,Lulu/Poppy/Tristana (BC),""
CQBACAIEBAFQKCRHFJSHJBABQUAZCANEAGTADJYBV4AQCAQFBJCUMAA,faction_BandleCity_Name,01PZ008,01PZ008,01PZ008,05BC133,05BC133,05BC133,01PZ008,01PZ008,01PZ008,05BC039,05BC039,05BC039,05BC042,05BC042,05BC042,05BC100,05BC100,05BC100,05BC116,05BC116,05BC116,05BC132,05BC132,05BC132,05BC133,05BC133,05BC133,05BC145,05BC145,05BC145,05BC164,05BC164,05BC164,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC069,05BC069,05BC070,05BC070,Teemo/Tristana (BC),""
CQAQWBIKE4UWA5EBAGCQDJQBU4A26ANYAHDACAIBAUFACAIFAUFGS34HAGKADQQB,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC096,05BC096,05BC096,05BC116,05BC116,05BC116,05BC129,05BC129,05BC129,05BC133,05BC133,05BC133,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC184,05BC184,05BC184,05BC198,05BC198,05BC198,05BC001,05BC001,05BC105,05BC111,05BC135,05BC148,05BC194,Poppy/Tristana,""
CMAQUBIKDITSSMLAQUA2AANGAGTQDLYBAECQKCQBA4VIOAMRAEAA,faction_BandleCity_Name,05BC041,05BC041,05BC041,05BC133,05BC133,05BC133,05BC026,05BC026,05BC026,05BC039,05BC039,05BC039,05BC041,05BC041,05BC041,05BC049,05BC049,05BC049,05BC096,05BC096,05BC096,05BC133,05BC133,05BC133,05BC160,05BC160,05BC160,05BC166,05BC166,05BC166,05BC167,05BC167,05BC167,05BC175,05BC175,05BC175,05BC001,05BC001,05BC007,05BC007,05BC042,05BC042,05BC135,05BC135,05BC145,05BC145,Poppy/Tristana,""
